Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,100n,
"C3, C4",0805,2,22pF,
C5,0805,1,22uF,
"C6, C8, C9",0805,3,0.1u,
C7,0805,1,0.1n,
"J1, J2",PinHeader_1x08_P2.54mm_Vertical,2,Conn_01x08,
J3,USB_C_Receptacle_GCT_USB4125-xx-x_6P_TopMnt_Horizontal,1,USB_C_Receptacle_PowerOnly_6P,
J4,PinHeader_2x03_P2.54mm_Vertical,1,ICSP,
MK1,CUI_CMC-5042PF-AC,1,CMC-5042PF-AC,
"R1, R2, R3",0805,3,10k,
R10,0805,1,100k,
"R4, R5",0805,2,5.1k,
"R6, R7",0805,2,2k,
"R8, R9",0805,2,1M,
"S1, S2",SW_SKRPABE010,2,SKRPABE010,
U1,TQFP-32_7x7mm_P0.8mm,1,ATmega328PB-A,
U2,SOIC-24W_7.5x15.4mm_P1.27mm,1,MAX7219,
U3,SOT65P210X110-5N,1,MAX4466EXK,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16 Mhz Crystal,
